performance_start_date,performance_end_date,performance_serial_number,performance_genre,performance_name,performance_place,performance_runningtime,performance_intermission,performance_age,performance_enter,performance_phonenumber,performance_synopsis,performance_work_description,cast_editor,crew_editor,performance_discount_info,performance_seat_info
20250726,20250726,35740,클래식,2025 서울시향 실내악 시리즈 III,세종체임버홀,70.0,15.0,7세 이상,(재)서울시립교향악단,1588-1210,"서울시향실내악시리즈III에서는서울시향단원들이동유럽작곡가들의실내악을연주한다.향수를느낄수있는현악사중주의영원한고전,드보르자크의‘아메리카’가첫곡이다.교향곡9번‘신세계로부터’와쌍벽을이루는,미국에서의삶과아름다운풍광,고국에대한그리움이체코의선율과흑인영가풍선율에녹아있는2악장을비롯해서자연스럽고인간적이며,사랑스런곡의전개는실내악을더욱좋아하게되는계기가될수있다.악보말미에드보르자크가적었다는문구‘햇살은얼마나아름다운가’는이작품이코모레비(‘나뭇잎사이로비치는햇살을뜻하는일본어)같은싱그러움과통한다고알려준다.다음으로연주하는곡은예뇌도흐나니의피아노오중주1번이다.17세도흐나니가작곡한이작품이왜브람스의주목을끌었고,그로부터“내가작곡했어도이보다더잘쓸수없다”는찬사를얻어냈는지를확인할기회다.","드보르자크,현악사중주제12번‘아메리카’Dvo??k,StringQuartetNo.12inFMajor,Op.96,‘American’도흐나니,피아노오중주제1번Dohnanyi,PianoQuintetNo.1inCminorOp.1*프로그램및연주자가변경될수있습니다.",,,91.0,"{SEAT_PRICE=50,000원, PERFORM_IDX=35740, SEAT_RATING=R석}, {SEAT_PRICE=30,000원, PERFORM_IDX=35740, SEAT_RATING=S석}, {SEAT_PRICE=10,000원, PERFORM_IDX=35740, SEAT_RATING=A석}"
20250628,20250628,35739,클래식,2025 서울시향 실내악 시리즈 II,세종체임버홀,90.0,15.0,7세 이상,(재)서울시립교향악단,1588-1210,"제임스에네스의바이올린을400여석세종체임버홀에서열리는서울시향의두번째실내악시리즈에서더가까이서생생하게듣는다.라벨특유의섬세함과정교함을느낄수있는현대피아니즘의정수‘소나티네’를색채감이더욱강조된플루트와현악사중주편곡으로듣는다.그리고에네스는프랑스인상주의실내악의정수이며류이치사카모토를비롯한수많은음악가에게영향을준드뷔시의유일한현악사중주를서울시향단원들과함께연주하며,끝으로브람스의현악육중주1번을이끈다.베토벤,슈베르트등빈고전주의의영향을엿볼수있는곡으로도처에서음향적색채가풍부한빈의분위기를풍기며,특히‘브람스의눈물’이란별명으로유명한2악장변주는사랑을향한정열과이루어지지못하는슬픔이몽환적으로승화되는모습을보여주기에꼭들어볼만하다.","라벨,소나티네Ravel,Sonatine,M.40forFlute,twoViolins,ViolaandCello드뷔시,현악사중주Debussy,StringQuartetinGminor,Op.10브람스,현악육중주제1번Brahms,SextetNo.1inB-flatmajor,Op.18*프로그램및연주자가변경될수있습니다.",,,91.0,"{SEAT_PRICE=70,000원, PERFORM_IDX=35739, SEAT_RATING=R석}, {SEAT_PRICE=40,000원, PERFORM_IDX=35739, SEAT_RATING=S석}, {SEAT_PRICE=10,000원, PERFORM_IDX=35739, SEAT_RATING=A석}"
20250402,20250402,35855,클래식,루도비코 에이나우디 내한공연,세종대극장,120.0,,7세 이상,(주)크레디아뮤직앤아티스트,02-318-4301,,"는 일주일 만에 영국 클래시컬 차트에서 1위에 올랐다. 음원 스트리밍 사이트에서는 모차르트, 베토벤보다도 더 많은 인기를 끌고 있는 아티스트다. 뿐만 아니라, 에이나우디의 음악은 아카데미상 수상작인 영화 OST로도 사용되며 많은 사랑을 받고 있으며, 국내에서 여러 광고 음악에서도 사용된 바 있다. 현재 에이나우디의 공연은 세계 곳곳에서 매진 행렬을 이어가고 있다. 2025년 6월에 예정된 영국 로열 앨버트 홀의 5회차 공연을 티켓판매 90분 만에 매진시켰으며, 이에 7월 영국과 아일랜드 공연을 추가하는 등 신드롬적인 인기가 계속되고 있다. 루도비코 에이나우디는 이번 4월 2일(수) 세종문화회관에서 내한무대에서 그의 히트곡들과 함께 2025년 1월 31일 새 발매를 앞두고 있는 음반신곡들을 소개할 예정이다.' border='0' style='width: 950px; height: 5229px; border: 0px solid;'>",,,91.0,"{SEAT_PRICE=165,000원, PERFORM_IDX=35855, SEAT_RATING=R석}, {SEAT_PRICE=132,000원, PERFORM_IDX=35855, SEAT_RATING=S석}, {SEAT_PRICE=88,000원, PERFORM_IDX=35855, SEAT_RATING=A석}, {SEAT_PRICE=66,000원, PERFORM_IDX=35855, SEAT_RATING=B석}"
20250329,20250329,35785,클래식,이주원 피아노 귀국독주회,꿈의숲 콘서트홀,70.0,15.0,5세 이상,이주원,ljw1822@gmail.com,,"1.J.s.Bach-daswohltemperierteKlavierPr?ludiumundFugeTeilIINr.20BWV889inamoll2.J.Haydn-pianosonataNo.60inCMajor,Hob.XVI:503.F.Chopin-Balladeop.38no.2inFMajor4.FazilSay-BlackEarth5.AdolfMisek-Legendeop.3forDoublebassandPiano","피아니스트이주원은백석대학교문화예술학부피아노과를전체성적수석으로졸업하였고,대학재학중매학기성적우수장학금을수상하였다.예전예술기획아르스노바콩쿨동상,한양대학교사범대학부속고등학교콩쿨4등,한음콩쿨장려를수상하였다.중학교재학중서울시주관건국대학교음악영재교육원에선발되어건국대학교김수영교수를사사하였고,고등학교재학중서울시주관경복고등학교음악영재학급에선발됐었다.피아노교육에도관심이많은그는현재독일현지음악학원(Musikschule)에서피아노강사로재직중이다.또한,독일마인츠부덴하임(MainzBudenheim)의현지교회인드라이팔티히카이츠교회(Dreifaltigkeitskirche)에서합창코치및오페라코치를역임하였다.이주원은백석대학교에서금혜승,이형천교수를사사하였고,독일마인츠페터코넬리우스시립음악원(PeterCorneliusKonservatoriumderStadtMainz)의UweZeutzheim교수클래스에서전문연주자과정(KAStudium)을밟고있다.이와동시에그의모교페터코넬리우스시립음악원피아노&amp;반주코치교수로재직중인베아테슈묵(BeateSchmuck)의대리자로서피아노과강사역할을수행중이다.국내에서는김수영,임현식,금혜승,이형천,허은교수를,독일에서는김숙연,차승조,UweZeutzheim,ClemensRave교수를사사하였다.",,91.0,"{SEAT_PRICE=20,000원, PERFORM_IDX=35785, SEAT_RATING=전석}"
20250329,20250329,35738,클래식,2025 서울시향 실내악 시리즈 I,세종체임버홀,115.0,15.0,7세 이상,(재)서울시립교향악단,1588-1210,독일의첼리스트알반게르하르트가서울시향단원들과피아노삼중주공연을펼친다.게르하르트는우리에게정명훈지휘서울시향의진은숙첼로협주곡음반(DG)과하이페리온의여러음반으로잘알려진다재다능한첼리스트다.두곡모두작곡가가친애하던인물을추모하는작품이라는공통점이있다.쇼스타코비치피아노삼중주2번은러시아의학자이자음악가인친구이반솔레르친스키의죽음을애도하기위한곡이다.차이콥스키피아노삼중주‘어느위대한예술가를추억하며’는피아니스트이자모스크바음악원원장이었던니콜라이루빈스타인을기리는작품이다.비교적호흡이긴두삼중주사이에알반게르하르트의바흐무반주첼로모음곡제3번도들을수있다.친숙한곡에새로운빛을비추고열정적으로새로운레퍼토리를탐구하는게르하르트.그의1710년산마테오고프릴러첼로의그윽한음색에귀를기울여보자.,"쇼스타코비치,피아노삼중주제2번Shostakovich,PianoTrioNo.2inEminor,Op.67바흐,첼로모음곡제3번Bach,CelloSuiteNo.3inCmajor,BWV1009차이콥스키,피아노삼중주Tchaikovsky,PianoTrioinAminor,Op.50*프로그램및연주자가변경될수있습니다.",,,91.0,"{SEAT_PRICE=70,000원, PERFORM_IDX=35738, SEAT_RATING=R석}, {SEAT_PRICE=40,000원, PERFORM_IDX=35738, SEAT_RATING=S석}, {SEAT_PRICE=10,000원, PERFORM_IDX=35738, SEAT_RATING=A석}"
20250201,20250302,35791,연극,폴리팝,세종S씨어터,60.0,,3세 이상,브러쉬씨어터,1600-8534,,,,,91.0,"{SEAT_PRICE=60,000원, PERFORM_IDX=35791, SEAT_RATING=전석}"
20250121,20250330,35799,뮤지컬,뮤지컬 30주년 기념 공연,세종대극장,165.0,20.0,2018년 이전 출생자,(주)에이콤,02-2250-5900acommusical@naver.com,,"30주년 기념 공연 1995년 초연 이후 관객과 평단의 변함없는 사랑 속에 각종 기록을 남긴 뮤지컬 , 대한민국 뮤지컬사에 30년 그 이상의 발자취를 남기기 위한 위대한 22번째 프로덕션! 1996년 제2회 한국뮤지컬대상 6관왕을 시작으로 30년간 수많은 시상식에서 찬사를 받았던 한국 뮤지컬의 역사 초연 12년 만인 2007년 3월 1일 한국 창작뮤지컬 사상 최초 100만 관객 돌파 그리고 2009년 한국 뮤지컬 최초 1,000회 공연 돌파라는 대기록 수립! 뮤지컬 의 역사 1995년 뮤지컬 초연 매진 세례와 함께 연장 공연 확정 새로운 역사의 서막을 열다 1997년 아시아 뮤지컬 최초 뉴욕 브로드웨이 진출 (링컨 센터) 이후 LA, 토론토 등 해외 공연 진행 1999년 아시아 최초 LA Ovation Awards 3개 부문 노미네이트 2002년 런던 웨스트엔드 진출 (영어 공연, 해머스미스 아폴로 극장) 2005년 10주년 기념공연 (예술의전당 오페라극장) 2007년 누적 공연 횟수 1000회 돌파 (국립극장 해오름극장) 2008년 ‘국내 대형 창작 뮤지컬 최초’ 100만 관객 돌파 (예술의전당 오페라극장) 2009년 경희궁 숭정전 공연 (하이서울 페스티벌 봄 축제 - 고궁뮤지컬) 2015년 20주년 기념공연 (예술의전당 오페라극장) 2018년 누적 공연 횟수 1400회, 누적 관객 195만 돌파 2021년 205주년 기념공연 (예술의전당 오페라극장) 2025년 국내 창작뮤지컬 최초, 30주년 기념 공연 (세종문화회관 대극장) 한국 뮤지컬의 저력을 세계에 노래한 뮤지컬! 1997년 뉴욕 링컨센터 공연 1998년 LA 슈버트 극장 공연 2002년 런던 해머스미스 극장 공연 2004년 토론토 허밍버드 센터 공연 2009년 구마모토 가쿠엔 대학 공연 국내 초연 2년 만에 아시아 최초로 뮤지컬의 본고장 브로드웨이(1997년 뉴욕 링컨센터)와 웨스트엔드(2002년 런던 해머스미스 극장) 진출! 이후 캐나다 허밍 센터에서의 공연까지 성공하며 한국 창작 뮤지컬을 앞장서 알린 작품으로 발돋움했다. 30년의 시간이 만들어낸 완성도 높은 무대 소설 을 토대로 하여 한국적 정서를 담아낸 가사와 웅장한 선율로 빚어낸 50여 곡의 노래 혁신적인 회전 무대와 역동적인 안무, 화려한 의상으로 완성된 뮤지컬 는 끊임없는 진화로 명작의 품격을 유지하고 있다. AWARDS 2016년 제5회 예그린 뮤지컬 어워드 여우주연상(김소현) 2010년 대한민국 국가브랜드대상 2004년 제10회 한국뮤지컬대상 GM대우 아름다운 뮤지컬상 2003년 뮤지컬 부문 국회 대상 1999년 제10회 LA Ovation Awards 3개 부문 노미네이트 (여우주연상, 음향상, 조명상) 1998년 제4회 한국뮤지컬대상 3관왕 여우주연상(김원정), 남우주연상(유희성), 특별상(김영환) 1996년 제2회 한국뮤지컬대상 6관왕 (최우수작품상, 연출상, 남우조연상(김민수), 무대미술상, 기술상, 인기스타상). PRODUCTION HISTORY 1995년서울 예술의전당 오페라극장 초연 1996년서울 예술의전당 오페라극장 외 4개 지역 공연 1997년서울 예술의전당 오페라극장, 뉴욕, 인천 공연 1998년서울 예술의전당 오페라극장, LA 외 5개 지역 공연 1999년서울 예술의전당 오페라극장 외 6개 지역 공연 2000년서울 예술의전당 오페라극장 공연 2001년서울 예술의전당 오페라극장 외 9개 지역 공연 2002년서울 예술의전당 오페라극장, 런던 외 4개 지역 공연 2003년서울 예술의전당 오페라극장, 국립극장 해오름극장, LA 외 6개 지역 공연 2004년캐나다 토론토, 의정부 외 7개 지역 공연 2005년서울 예술의전당 오페라극장 외 12개 지역 공연 2006년서울 예술의전당 오페라극장, 국립극장 해오름극장 외 5개 지역 공연 2007년서울 예술의전당 오페라극장, 국립극장 해오름극장 외 12개 지역 공연 2008년서울 세종문화회관 대극장, 경희궁 숭정전 외 10개 지역 공연 2009년서울 국립극장 해오름극장, 일본 구마모토 외 2개 지역 공연 2010년대전 외 6개 지역 공연 2011년서울 충무아트홀 대극장 외 4개 지역 공연 2012년원주, 안양 공연 2013년대구 계명아트센터 공연 2014년군산 외 6개 지역 공연 2015년서울 예술의전당 오페라극장 외 11개 지역 공연 2016년광주 외 5개 지역 공연 2018년서울 세종문화회관 대극장 외 12개 지역 공연 2021년 서울 예술의전당 오페라극장 공연 ======================================================= SYNOPSIS 어린 고종은 세도정치의 폐단을 막고자 대원군이 간택한 민자영을 왕비로 맞는다. 대원군이 섭정 중인 조선은 서양과 교류하며 발전하는 주변국들과 달리 개항을 요구하는 열강들과 무력으로 충돌한다. 고종은 왕비의 지지에 힘입어 친정을 선포하고 개화정책을 추진한다. 하지만 개항 이후, 조선에서의 이권을 선점한 일본 상인의 횡포로 민심은 등을 돌리고, 급기야 군대 개혁에 불만을 품은 구식군이 대원군을 앞세워 군란을 일으킨다. 왕실은 결국 몰락해가는 청나라의 힘을 빌려 난을 진압하는 선택을 하게 된다. 고종과 왕비는 청일전쟁의 승리로 조선에서의 영향력이 커진 일본을 견제하기 위한 외교정책을 추진한다. 이로 인하여 조선 정복을 위한 계획에 차질이 생길 것을 우려한 일본의 관료들은 왕비를 장애물로 지적하고, ‘여우사냥’이라는 이름의 암살 작전을 계획하는데… ======================================================= CHARACTER &amp; CAST 명성황후 김소현 | 신영숙 | 차지연 고종 강필석 | 손준호 | 김주택 홍계훈 양준모 | 박민성 | 백형훈 대원군 서영주 | 이정열 미우라 김도형 | 문종원 박상궁 임선애 김상궁 박슬기 진령군 정목화 손탁 김가희 이노우에 김상현 이토 조영태 오카모토 김태현 왜상 박상희 베베르 민준호 원세개 주홍균 세자 박노아 | 윤도영 | 김민준 앙상블 김순주 박진원 엄정욱 고대완 정태근 이지윤 김선우 서광섭 이태권 안성연 박준우 염성훈 염정우 임지은 엄태용 이지우 배종오 정다은 배나무 신혜민 배형빈 김동현 오유진 오윤재 김경한 진선희 원세린 박진기 김동훈 전희은 차승우 정연우 강유경 ======================================================= CREATIVE TEAM 프로듀서 윤홍선 | 예술감독 윤호진 | 연출 안재승 원작 이문열 | 각색 김광림 | 작곡 김희갑 | 작사 양인자 | 편곡 피터 케이시 | 안무 서병구 음악감독 김문정 | 제작총괄 지재혁 | 무대디자인 박동우 | 조명디자인 최형오 | 음향디자인 김기영 영상디자인 송승규 | 분장디자인 김유선 | 의상디자인 김현숙, 정경희 | 소품디자인 조윤형 특수효과 박광남 | 기술감독 유석용 | 무대감독 강필수 | 제작감독 류정훈 제작 ACOM 제작투자 지니뮤직 홍보마케팅 ㈜로네뜨 공연문의 ACOM 02-2250-5900' border='0' style='border: 0px solid;'>",,,91.0,"{SEAT_PRICE=160,000원, PERFORM_IDX=35799, SEAT_RATING=VIP석}, {SEAT_PRICE=140,000원, PERFORM_IDX=35799, SEAT_RATING=R석}, {SEAT_PRICE=110,000원, PERFORM_IDX=35799, SEAT_RATING=S석}, {SEAT_PRICE=80,000원, PERFORM_IDX=35799, SEAT_RATING=A석}"
20250121,20250330,35874,뮤지컬,The Last Empress to Mark the 30th Anniversary,세종대극장,165.0,20.0,6,ACOM,02-2250-5900acommusical@naver.com,,"YoungKingGojongtakesMinJa-youngashisqueenappointedbyDaewongun,hisfatherwhoaimstopreventtheevilsofpoliticalpowerofin-laws.UnlikeneighboringcountriesthattaketheroadtodevelopbyinteractingwiththeWest,Joseon,whichDaewongunrulesasregent,goesthrougharmedclashwithpowersdemandingtoopenaport.Withthesupportofthequeen,KingGojongdeclaredthathewoulddopoliticshimselfandpromotedthepolicyofenlightenment.However,aftertheopeningoftheport,thepublicsentimentwasturnedawaybythetyrannyofJapanesemerchantswhohaddominatedinterestsinJoseon,andeventually,theold-fashionedarmy,dissatisfiedwithmilitaryreform,triggeredamilitaryrevoltwithDaewongunontheirside.TheroyalfamilyoptedtosuppresstherebellionbyleveragingthepowerofthefallingQingDynastyintheend.KingGojongandhisqueenpursuesadiplomaticpolicytocheckJapan,whichhasgrownitsinfluenceinJoseonfollowingthevictoryoftheSino-JapaneseWar.HavingconcernedthatthiswoulddisrupttheirplantoconquerJoseon,Japaneseofficialspointtothequeenasanobstacleandplananassassinationschemenamed'Foxhunting'...",,,91.0,"{SEAT_PRICE=160,000 won, PERFORM_IDX=35874, SEAT_RATING=VIP}, {SEAT_PRICE=140,000 won, PERFORM_IDX=35874, SEAT_RATING=R}, {SEAT_PRICE=110,000 won, PERFORM_IDX=35874, SEAT_RATING=S}, {SEAT_PRICE=80,000 won, PERFORM_IDX=35874, SEAT_RATING=A}, {SEAT_PRICE=60,000 won, PERFORM_IDX=35874, SEAT_RATING=B}"
20250120,20250120,35884,클래식,박찬식 바이올린 독주회 - 슈만 바이올린 소나타 전곡 연주,세종체임버홀,90.0,15.0,7세 이상,지클레프,02-515-5123,,"RobertSchumann(1810~1856)SonataforViolinandPianoNo.1inAminor,Op.105I.MitleidenschaftlichemAusdruckII.AllegrettoIII.LebhaftSonataforViolinandPianoNo.3inAminor,WoO2I.Ziemlichlangsam-LebhaftII.ScherzoIII.IntermezzoIV.FinaleIntermissionSonataforViolinandPianoNo.2inDminor,Op.121I.ZiemlichLangsam-LebhaftII.SehrlebhaftIII.Leise,einfachIV.Bewegt","Violinist박찬식진중하고깊은표현력을가진바이올리니스트박찬식은국내는물론유럽전역에서연주를펼치며다양한커리어를쌓아왔다.그는9세때인2005년에소년한국일보콩쿠르대상을받으며일찍부터두각을드러냈으며다음해인2006년,KBS교향악단과모차르트탄생250주년기념연주를통해연주활동을시작했다.그후로바로크현악콩쿠르2위,난파콩쿠르대상,이화경향콩쿠르2위,오사카국제콩쿠르에서1위없는2위,스위스'JeanFr?d?ricPerrenoud'국제콩쿠르심사위원장상,오스트리아라이온스뮤직어워드2위등다수의콩쿠르에입상하였으며,체코야나첵필하모니,슬로바키아필하모니,루마니아티미쇼아라오케스트라를비롯한해외다수의오케스트라와협연하였고빈무직페어라인,빈콘체르트하우스,빈슈테판성당,프라하스메타나홀,프라하루돌피눔,오스트리아ORF국영방송국홀,MuTH빈소년합창단홀,러시아모스크바음악의전당등연주홀에서다양한연주를펼쳐왔다.국내에서는KBS교향악단,서울신포니에타,서울스트링앙상블,코리아솔로이츠오케스트라등단체들과연주를이어가고있으며,서울예술의전당,세종문화회관,롯데콘서트홀,고양이람누리,경기도문화의전당,KBS홀등국내에서도꾸준히활동중이다.그는2012년스위스'SommetMusicauxdeGstaad'음악축제에서초청리사이틀을시작으로주프랑스한국문화원,주헝가리한국문화원,오스트리아EhrbarSaal,일신홀,2022년에는금호아트홀연세에서브람스전곡리사이틀을가진바있다.2009년선화예술학교실기우수자로입학후오스트리아로유학,그해가을부터빈국립음대영재과에서DoraSchwarzberg교수를사사하였고,2012년에빈국립음대본과에최연소입학하였다.2014년부터는전학년장학생으로빈시립음대에서PavelVernikov의지도아래서수석졸업(AusgezeichneterErfolg)하였으며,2019년가을부터빈시립음대대학원에서학업을이어나가고있다.Piano박영성피아니스트박영성은꾸준한끈기로피아니스트로서의경력을쌓고있는연주자이다.그는동아음악콩쿠르2위,제37회중앙음악콩쿠르2위,제22회KBS.KEPCO(구신인음악콩쿠르,2012)1위,제21회성정음악콩쿠르(2013)대상및16th아시아쇼팽콘체르토어워드1위,MozartInternationalCompetitioninAachen1위및청중상등국내외콩쿠르에서수상하였다.솔리스트로서수원시립교향악단,KBS교향악단,프라임필하모닉오케스트라,KNUA오케스트라와협연하였으며,중남미한국문화원초청SalondeHonor,CentroCulturalKirchner(Argentina)에서의독주회,금호영아티스트시리즈,한국예술종합학교피아노시리즈독주회,오사카한국문화원초청실내악연주회,독일한국음악제초청실내악연주회등의실내악프로그램에도활발하게참여하고있다.그는라이프치히아카데미장학생등으로참가하여독주회와실내악으로다양한공연을통해음악적인성장을보이고있으며,국민은행장학금,문화체육관광부장학금등의장학생으로선발되기도하였다.박영성은포항예고를졸업하였으며,한국예술종합학교에서김대진,임종필,손은정,강우성,OxanaYablonskaya교수등을사사하였다.",,91.0,"{SEAT_PRICE=20,000원, PERFORM_IDX=35884, SEAT_RATING=전석}"
20250118,20250118,35888,클래식,제3회 앙상블 누보 정기연주회,세종체임버홀,90.0,15.0,2018년 이전 출생자,예인예술기획,02-586-0945,,P.I.TchaikovskyAndanteCantabileforSoloCelloandOrchestra(arr.forStringEnsemble)*Solo윤해원*1stVn.이지영2ndVn.임창호Va.이신규Vc.유하나래Db.조재복J.HaydnCelloConcertoNo.2inDMajor(arr.forStringEnsemble)*Solo윤해원*1stVn.이지영2ndVn.임창호Va.이신규Vc.유하나래Db.조재복J.BrahmsPianoQuintetinfminor*Pf.박진우1stVn.임창호2ndVn.이지영Va.이신규Vc.윤해원,"#앙상블누보EnsembleNouveauEnsembleNouveau에서누보는불어로'New'라는뜻이다.미국,독일등각기다른나라와환경에서공부하고활동하며연주활동을이어가던연주자들이첼리스트윤해원을주축으로뜻을모아새로운마음으로같이연주해보고자결성한앙상블로서앞으로다양한스펙트럼의연주활동을이어갈예정이다.음악감독및Cello윤해원*줄리어드음악대학학사,석사장학생으로수료*RutgersUniversity전액장학금및Fellowship을수혜하며박사학위취득*조선일보,경향일보등국내다수콩쿨우승*코리안챔버오케스트라,코리안심포니오케스트라,서울시향등국내외오케스트라와협연*세종대,한양대강사역임*현재:앙상블누보음악감독및아티스트Violin임창호*서울예술고등학교수석입학후도미*줄리어드음악대학학사및석사,뉴저지럿걸스주립대학교박사학위취득*이화?경향,중앙일보,국민일보,미국코퍼스크리스티국제콩쿨,뉴욕음악콩쿨우승및입상,예원학교공로상수상*럿걸스주립대강사및뉴저지버겐심포니악장역임*현재:서울대출강Violin이지영*줄리어드예비학교,학사(BM),석사(MM)과정졸업*BergenPhilharmonic콩쿨우승및협연,이화경향,한국일보,조선일보콩쿨1위및입상*NewYorkStringSeminaratCarnegieHall참여,AliceTullyatLincolnCenter연주,헤이리카메라타,‘더뮤직’초청독주회,서울시티챔버오케스트라협연,화음체임버오케스트라협연*AspenMusicFestival,BowdoinInternationalFestival등다수음악제참여연주*현재:한국페스티발앙상블,화음체임버오케스트라,클래시칸앙상블,코리안챔버뮤직소사이어티,ERATO앙상블단원Viola이신규*줄리어드음악대학학사및석사전액장학졸업및연세대학교최초비올라박사수료*현재:클래시칸앙상블예술감독ClubM비올리스트,로워스트링콰르텟리더챔버뮤직소사이어티CMSROUND-TABLE음악감독디라이트아트홀예술감독한국국제예술학교비올라교수예원,서울예고,중앙대출강Cello유하나래*서울예술고등학교졸업*한양대학교음악대학관현악과수석졸업*독일함부르크국립음대석사(KADiplom)*한양대학교정기연주회,양주시립교향악단협연*한양대학교겸임교수,예원예술대학교강사역임*현재:양주시립교향악단첼로수석총신대콘서바토리,경기예술고등학교,효자중학교음악중점학교출강DoubleBass조재복*서울대학교음악대학재학중도독*독일베를린한스아이슬러국립음대Vordiplom*베를린국립예술대학(UDK)Diplom수석졸업*함부르크국립음대,에센폴크방국립음대Master과정수료*DuisburgerPhilharmoniker수석역임*하노버NDRRadiophilharmonie수석역임*경희대,숙명여대,계명대강사역임*현재:코리안챔버오케스트라정단원및한양대,경북대출강Piano박진우*예원,서울예고졸업,한국예술종합학교조기졸업*독일데트몰트음대KA과정졸업,독일하노버음대최고연주자과정졸업*‘서울예고를빛낸음악인’상수상,중앙음악콩쿨1위,난파콩쿨대상,PietroArgento국제콩쿨대상*KBS교향악단,부천필하모닉오케스트라,코리안심포니오케스트라,KCO등과협연*현재:중앙대학교음악학부피아노전공부교수",,91.0,"{SEAT_PRICE=20,000원, PERFORM_IDX=35888, SEAT_RATING=전석}"
